ARE,VBASEKV,MODV_PU
1.0,525.0,20024.175067
2.0,230.0,123357.525333
5.0,230.0,8206.850803
6.0,230.0,1368.08739
51.0,525.0,10951.001923
52.0,230.0,46850.100144000004
54.0,230.0,1363.042838
101.0,500.0,2749.277098
101.0,525.0,23179.322281
102.0,230.0,71250.865782
104.0,230.0,12298.565054
105.0,230.0,1377.400336
201.0,765.0,5425.537078
202.0,500.0,21232.830101
202.0,525.0,1376.874457
203.0,440.0,51172.328846
204.0,345.0,38452.025608
205.0,230.0,43461.914916
216.0,230.0,6868.151635
216.0,345.0,1370.326138
241.0,500.0,3953.09694
251.0,500.0,13764.750109
252.0,345.0,13689.431681
253.0,230.0,1316.507807
301.0,500.0,4102.370194
302.0,345.0,8294.14739
303.0,230.0,5455.063436
351.0,500.0,38313.92491
352.0,345.0,52258.082116
353.0,230.0,34194.039273
362.0,230.0,21834.922117
362.0,345.0,1385.984674
362.0,500.0,1384.084401
401.0,440.0,2721.291821
402.0,230.0,17413.21251
404.0,230.0,1308.567663
431.0,230.0,1400.247915
451.0,500.0,8383.826902
452.0,230.0,16579.621808
471.0,500.0,15272.933371
472.0,230.0,30321.744845
511.0,500.0,8365.263308
512.0,345.0,4042.009271
513.0,230.0,43833.839662
519.0,230.0,8193.324404
520.0,230.0,1366.27917
561.0,500.0,2721.422402
562.0,345.0,2732.45897
563.0,230.0,2741.108682
701.0,230.0,2667.631898
701.0,500.0,25277.595793
702.0,230.0,68282.140264
704.0,230.0,2802.534118
711.0,500.0,15739.978573
712.0,230.0,58007.075854
715.0,230.0,17937.917408
716.0,230.0,2754.054812
721.0,500.0,11455.310843
722.0,230.0,49649.9786
724.0,230.0,9546.791422
741.0,500.0,19652.08266
742.0,230.0,60069.740133
744.0,230.0,4152.29941
761.0,500.0,11139.215707
762.0,230.0,62464.917868
764.0,230.0,8332.606233
771.0,500.0,19716.320177
772.0,230.0,34397.553852
801.0,500.0,2677.347957
802.0,230.0,9347.726729
821.0,230.0,8037.026967
841.0,500.0,16750.212702
842.0,230.0,12135.962115
843.0,230.0,11003.033067
844.0,230.0,8211.066753
848.0,230.0,17591.346764
861.0,500.0,13917.685419
862.0,230.0,17021.906815
863.0,230.0,3968.770072
866.0,230.0,7844.910853
881.0,500.0,8515.961549
882.0,230.0,5494.540014
